source,target,weight
chr14-3750000,chr1-10750000,0.07142857142857142
chrY-40750000,chr1-10750000,0.125
chrY-38000000,chr1-11000000,0.25
chrY-43750000,chr1-11000000,0.16666666666666666
chrY-79000000,chr1-11000000,1.0
chr14-3750000,chr1-11250000,0.07142857142857142
chrY-29000000,chr1-11250000,0.25
chrY-42250000,chr1-11250000,0.07142857142857142
chrY-56250000,chr1-11250000,0.25
chrY-42000000,chr1-11500000,0.0625
chrY-89750000,chr1-11500000,0.25
chrY-8250000,chr1-11750000,0.07692307692307693
chrY-75500000,chr1-11750000,0.25
chrY-11750000,chr1-12000000,0.07142857142857142
chrY-38750000,chr1-12250000,0.25
chrY-39000000,chr1-12250000,0.1
chrY-79750000,chr1-12250000,1.0
chrY-40000000,chr1-12500000,0.0625
chrY-58000000,chr1-12500000,1.0
chr7-22250000,chr1-12750000,0.5
chr9-2750000,chr1-12750000,0.2
chrX-3500000,chr1-12750000,0.25
chrX-28750000,chr1-12750000,0.5
chrY-86500000,chr1-12750000,0.25
chrY-87750000,chr1-12750000,0.25
chr7-20250000,chr1-13000000,0.5
chrY-20250000,chr1-13000000,0.08333333333333333
chrX-123250000,chr1-13250000,0.058823529411764705
chrX-148500000,chr1-13250000,0.08333333333333333
chrY-73000000,chr1-13250000,0.5
chrY-75500000,chr1-13500000,0.25
chrY-84500000,chr1-13500000,0.5
chr14-3750000,chr1-13750000,0.07142857142857142
chrY-29750000,chr1-13750000,0.5
chrY-86250000,chr1-14000000,0.5
chrY-87250000,chr1-14000000,0.08333333333333333
chr14-42750000,chr1-14250000,0.1
chrY-39750000,chr1-14250000,0.25
chrY-42250000,chr1-14250000,0.07142857142857142
chr14-3750000,chr1-14500000,0.07142857142857142
chrY-35500000,chr1-14500000,1.0
chrY-87500000,chr1-14500000,0.16666666666666666
chr7-8750000,chr1-14750000,0.05555555555555555
chrY-41500000,chr1-14750000,0.125
chr7-22250000,chr1-15000000,0.5
chrX-31250000,chr1-15000000,0.05
chrY-20250000,chr1-15000000,0.08333333333333333
chrY-22500000,chr1-15000000,0.125
chrX-149250000,chr1-15250000,0.5
chrY-10750000,chr1-15250000,1.0
chrY-82250000,chr1-15250000,0.5
chrY-88000000,chr1-15250000,0.125
chrX-148000000,chr1-15500000,0.16666666666666666
chrY-21000000,chr1-15500000,0.5
chrY-40750000,chr1-15500000,0.125
chr7-7750000,chr1-15750000,0.0625
chrY-75000000,chr1-15750000,0.5
chrY-84750000,chr1-15750000,0.5
chr14-3750000,chr1-16000000,0.07142857142857142
chr14-5000000,chr1-16000000,0.05
chrY-41500000,chr1-16000000,0.125
chrY-53500000,chr1-16000000,1.0
chr7-22250000,chr1-16250000,0.5
chrY-43750000,chr1-16250000,0.16666666666666666
chrY-82500000,chr1-16250000,0.5
chrX-30250000,chr1-16500000,0.5
chrY-50000000,chr1-16500000,1.0
chrY-87250000,chr1-16500000,0.08333333333333333
chr14-5500000,chr1-16750000,0.5
chrY-28000000,chr1-16750000,0.5
chrX-3500000,chr1-17000000,0.25
chrY-88000000,chr1-17000000,0.125
chrY-83750000,chr1-17250000,0.5
chr12-22250000,chr1-17500000,0.0625
chr7-22250000,chr1-17750000,0.5
chrY-42000000,chr1-18000000,0.0625
chrY-57500000,chr1-18500000,1.0
chrY-87500000,chr1-18500000,0.16666666666666666
chr7-7750000,chr1-18750000,0.0625
chrY-40750000,chr1-18750000,0.125
chrY-31000000,chr1-19250000,1.0
chrY-43500000,chr1-19250000,0.05555555555555555
chrY-46500000,chr1-19500000,1.0
chrY-74500000,chr1-19500000,1.0
chrX-149000000,chr1-19750000,0.25
chrY-42250000,chr1-19750000,0.07142857142857142
chrY-80500000,chr1-19750000,1.0
chrY-90000000,chr1-19750000,0.125
chrX-148000000,chr1-20000000,0.16666666666666666
chrX-148500000,chr1-20000000,0.08333333333333333
chr7-8750000,chr1-20250000,0.05555555555555555
chrX-32750000,chr1-20250000,0.058823529411764705
chrY-40250000,chr1-20250000,0.25
chrY-89750000,chr1-20250000,0.25
chrY-20250000,chr1-20500000,0.08333333333333333
chrY-23500000,chr1-20500000,0.5
chrY-44750000,chr1-20500000,1.0
chr7-7750000,chr1-20750000,0.0625
chrY-43500000,chr1-20750000,0.05555555555555555
chr4-42500000,chr1-21000000,0.05
chrX-123250000,chr1-21000000,0.058823529411764705
chrY-35000000,chr1-21000000,0.5
chrY-89500000,chr1-21000000,0.08333333333333333
chrY-73250000,chr1-21250000,1.0
chrY-84750000,chr1-21250000,0.5
chr4-42500000,chr1-21750000,0.05
chr12-22250000,chr1-21750000,0.0625
chrY-35750000,chr1-21750000,0.5
chrY-38500000,chr1-21750000,1.0
chrY-58250000,chr1-21750000,1.0
chr7-20250000,chr1-22000000,0.5
chrX-28250000,chr1-22000000,0.5
chrY-41750000,chr1-22000000,0.25
chr14-5000000,chr1-22250000,0.05
chr14-7000000,chr1-22250000,0.05555555555555555
chrY-39500000,chr1-22250000,0.125
chrY-41500000,chr1-22250000,0.125
chrY-81000000,chr1-22250000,0.3333333333333333
chrY-86500000,chr1-22250000,0.25
chrY-43750000,chr1-22750000,0.16666666666666666
chrY-22500000,chr1-23000000,0.125
chrY-37750000,chr1-23000000,0.5
chrY-43250000,chr1-23000000,0.05555555555555555
chr4-122250000,chr1-23250000,0.1
chrX-30000000,chr1-23250000,0.5
chrY-29250000,chr1-23250000,0.25
chrY-35500000,chr1-23250000,1.0
chrY-39250000,chr1-23250000,0.16666666666666666
chrY-76000000,chr1-23250000,0.5
chrY-86750000,chr1-23250000,0.1
chrY-34750000,chr1-23500000,0.5
chrY-35250000,chr1-23500000,0.5
chrY-39250000,chr1-23500000,0.16666666666666666
chr7-7750000,chr1-23750000,0.0625
chrX-32750000,chr1-23750000,0.058823529411764705
chrY-43750000,chr1-23750000,0.16666666666666666
chr14-3750000,chr1-24000000,0.07142857142857142
chrY-20250000,chr1-24000000,0.08333333333333333
chr14-4500000,chr1-24250000,0.05555555555555555
chrY-250000,chr1-24250000,0.07142857142857142
chrY-23250000,chr1-24250000,1.0
chrY-44000000,chr1-24250000,0.08333333333333333
chr12-22250000,chr1-24750000,0.0625
chrY-86000000,chr1-24750000,0.5
chrY-86750000,chr1-24750000,0.1
chr7-8000000,chr1-25000000,0.09090909090909091
chr7-8750000,chr1-25250000,0.05555555555555555
chrX-148500000,chr1-25250000,0.08333333333333333
chr14-42750000,chr1-25500000,0.1
chrY-21000000,chr1-25500000,0.5
chrY-86000000,chr1-25500000,0.5
chr12-22250000,chr1-26000000,0.0625
chrY-77750000,chr1-26000000,0.5
chrY-40000000,chr1-26500000,0.0625
chrY-55500000,chr1-26500000,1.0
chrY-87750000,chr1-26500000,0.25
chr7-7750000,chr1-26750000,0.0625
chrY-42250000,chr1-26750000,0.07142857142857142
chr7-22500000,chr1-27000000,0.5
chr14-42750000,chr1-27000000,0.1
chrY-42500000,chr1-27000000,0.25
chrY-40250000,chr1-27250000,0.25
chr7-8750000,chr1-27500000,0.05555555555555555
chr14-3250000,chr1-27500000,0.3333333333333333
chrY-69000000,chr1-27500000,1.0
chrY-44500000,chr1-27750000,0.1
chrY-87000000,chr1-28250000,0.16666666666666666
chr12-22250000,chr1-28500000,0.0625
chr14-3750000,chr1-28500000,0.07142857142857142
chrY-35500000,chr1-28500000,1.0
chr4-122250000,chr1-28750000,0.1
chrY-11750000,chr1-28750000,0.07142857142857142
chrX-54750000,chr1-29000000,0.5
chrY-56250000,chr1-29000000,0.25
chr9-2750000,chr1-29250000,0.2
chrY-35750000,chr1-29500000,0.5
chrY-47500000,chr1-29750000,1.0
chr14-3750000,chr1-30000000,0.07142857142857142
chrY-71750000,chr1-30000000,1.0
chrY-77750000,chr1-30000000,0.5
chrY-86750000,chr1-30000000,0.1
chrY-83250000,chr1-30250000,1.0
chr4-42500000,chr1-30500000,0.05
chr12-22250000,chr1-30500000,0.0625
chrX-31250000,chr1-30500000,0.05
chrX-123250000,chr1-30500000,0.058823529411764705
chrY-83500000,chr1-30500000,1.0
chrY-40000000,chr1-30750000,0.0625
chrY-58250000,chr1-31000000,1.0
chrY-67500000,chr1-31250000,1.0
chrY-35000000,chr1-31500000,0.5
chr12-22250000,chr1-31750000,0.0625
chrX-30000000,chr1-31750000,0.5
chrX-123250000,chr1-31750000,0.058823529411764705
chrY-62000000,chr1-31750000,0.5
chrX-148000000,chr1-32000000,0.16666666666666666
chrY-250000,chr1-32000000,0.07142857142857142
chrY-39000000,chr1-32000000,0.1
chrY-42000000,chr1-32000000,0.0625
chrX-29750000,chr1-32500000,0.25
chrY-35250000,chr1-32500000,0.5
chrY-41750000,chr1-32500000,0.25
chrY-43500000,chr1-32500000,0.1111111111111111
chrY-82000000,chr1-32500000,0.5
chrY-87750000,chr1-32500000,0.25
chr14-6500000,chr1-32750000,0.05263157894736842
chrX-123250000,chr1-32750000,0.058823529411764705
chrY-44500000,chr1-32750000,0.1
chrY-20000000,chr1-33000000,0.25
chrY-40750000,chr1-33000000,0.125
chr7-20250000,chr1-33250000,0.5
chrY-250000,chr1-33250000,0.07142857142857142
chrX-3500000,chr1-33500000,0.25
chrX-4000000,chr1-33500000,0.06060606060606061
chrX-55000000,chr1-33500000,0.25
chrX-148000000,chr1-33500000,0.16666666666666666
chrX-149000000,chr1-33500000,0.25
chrY-41500000,chr1-33500000,0.125
chrY-42250000,chr1-33500000,0.07142857142857142
chrY-75500000,chr1-33500000,0.25
chrX-148500000,chr1-33750000,0.08333333333333333
chrY-75500000,chr1-33750000,0.25
chrY-39750000,chr1-34000000,0.25
chrY-74750000,chr1-34000000,1.0
chrY-81500000,chr1-34000000,0.5
chr14-3750000,chr1-34250000,0.07142857142857142
chrY-44000000,chr1-34250000,0.08333333333333333
chrY-80750000,chr1-34250000,1.0
chrX-54500000,chr1-34500000,0.5
chrY-20000000,chr1-34500000,0.25
chrY-88250000,chr1-34500000,0.16666666666666666
chrX-27750000,chr1-34750000,0.5
chrY-38250000,chr1-34750000,0.5
chrY-41500000,chr1-34750000,0.125
chrX-31250000,chr1-35000000,0.05
chrY-0,chr1-35000000,0.3333333333333333
chrY-22500000,chr1-35000000,0.125
chrY-86000000,chr1-35000000,0.5
chr7-7750000,chr1-35250000,0.0625
chrY-89750000,chr1-35250000,0.25
chrY-83750000,chr1-35500000,0.5
chr14-42750000,chr1-36000000,0.1
chrX-34500000,chr1-36000000,0.07142857142857142
chrX-54750000,chr1-36000000,0.5
chrY-43500000,chr1-36000000,0.05555555555555555
chr14-42750000,chr1-36500000,0.1
chrX-123250000,chr1-36500000,0.058823529411764705
chrY-45000000,chr1-36500000,1.0
chr7-22250000,chr1-36750000,0.5
chrY-42250000,chr1-36750000,0.07142857142857142
chrY-82000000,chr1-36750000,0.5
chrY-43500000,chr1-37000000,0.05555555555555555
chrY-44250000,chr1-37000000,0.1
chrY-83750000,chr1-37000000,0.5
chrY-89000000,chr1-37000000,0.5
chrY-30250000,chr1-37250000,1.0
chrY-38500000,chr1-37250000,1.0
chrY-39500000,chr1-37250000,0.125
chrY-42500000,chr1-37250000,0.25
chrY-66000000,chr1-37250000,1.0
chrY-89750000,chr1-37250000,0.25
chrY-250000,chr1-37500000,0.07142857142857142
chrY-29250000,chr1-37500000,0.25
chrY-84250000,chr1-37500000,0.25
chrX-31250000,chr1-37750000,0.05
chrX-123750000,chr1-37750000,0.07142857142857142
chr14-3000000,chr1-38250000,0.05
chrX-31250000,chr1-38250000,0.05
chrY-38750000,chr1-38250000,0.25
chrY-44250000,chr1-38250000,0.1
chrY-74250000,chr1-38250000,1.0
chrX-123750000,chr1-38500000,0.07142857142857142
chrY-44000000,chr1-38500000,0.08333333333333333
chrY-71750000,chr1-38500000,1.0
chrY-88750000,chr1-38500000,0.5
chrY-89500000,chr1-38500000,0.08333333333333333
chr4-122250000,chr1-38750000,0.1
chrY-29250000,chr1-39000000,0.25
chrY-42500000,chr1-39000000,0.25
chr12-22250000,chr1-39250000,0.0625
chrY-21000000,chr1-39250000,0.5
chrY-82750000,chr1-39250000,1.0
chrY-86750000,chr1-39250000,0.1
chrX-148000000,chr1-39500000,0.16666666666666666
chrY-89250000,chr1-39500000,0.125
chrY-56250000,chr1-39750000,0.25
chrY-60000000,chr1-39750000,1.0
chrY-89750000,chr1-39750000,0.25
chrY-84250000,chr1-40000000,0.25
chrY-88500000,chr1-40000000,0.25
chr7-7750000,chr1-40250000,0.0625
chr14-7000000,chr1-40250000,0.05555555555555555
chrY-38000000,chr1-40250000,0.25
chrY-42250000,chr1-40250000,0.07142857142857142
chr7-9250000,chr1-40500000,0.05128205128205128
chrY-29000000,chr1-40500000,0.25
chrY-43750000,chr1-40500000,0.16666666666666666
chrY-75250000,chr1-40500000,1.0
chrY-84250000,chr1-40500000,0.25
chrX-31250000,chr1-40750000,0.05
chrY-39000000,chr1-40750000,0.1
chrY-40500000,chr1-40750000,0.5
chrY-82750000,chr1-40750000,1.0
chrY-88000000,chr1-40750000,0.125
chrY-89750000,chr1-40750000,0.25
chrY-41750000,chr1-41000000,0.25
chrY-89750000,chr1-41250000,0.25
chr7-7750000,chr1-41500000,0.0625
chr14-42750000,chr1-41500000,0.1
chrX-31250000,chr1-41500000,0.05
chrY-42000000,chr1-41500000,0.0625
chrY-73000000,chr1-41500000,0.5
chrX-27750000,chr1-41750000,0.5
chrY-0,chr1-41750000,0.3333333333333333
chrY-74750000,chr1-41750000,1.0
chrY-74250000,chr1-42000000,1.0
chrX-28750000,chr1-42500000,0.5
chrX-148500000,chr1-42500000,0.08333333333333333
chrY-29000000,chr1-42500000,0.25
chrY-40500000,chr1-42500000,0.5
chrY-42000000,chr1-42500000,0.0625
chrY-76250000,chr1-42500000,0.5
chrX-31250000,chr1-42750000,0.05
chrY-40250000,chr1-42750000,0.25
chrY-44500000,chr1-42750000,0.1
chrX-34000000,chr1-43000000,0.05263157894736842
chr14-3750000,chr1-43250000,0.07142857142857142
chr14-42750000,chr1-43250000,0.1
chrY-41500000,chr1-43250000,0.125
chrY-43250000,chr1-43250000,0.05555555555555555
chrY-82500000,chr1-43250000,0.5
chrY-84250000,chr1-43250000,0.25
chr7-7750000,chr1-43500000,0.0625
chrX-125750000,chr1-43500000,0.3333333333333333
chrY-20250000,chr1-43500000,0.08333333333333333
chrY-22500000,chr1-43500000,0.125
chrY-83000000,chr1-43500000,0.25
chr14-3750000,chr1-43750000,0.07142857142857142
chrX-148500000,chr1-43750000,0.08333333333333333
chrY-56250000,chr1-43750000,0.25
chrY-88000000,chr1-43750000,0.125
chrY-89000000,chr1-43750000,0.5
chr14-3750000,chr1-44000000,0.07142857142857142
chrY-42000000,chr1-44000000,0.0625
chrY-47500000,chr1-44000000,1.0
chr3-113250000,chr1-44250000,0.25
chrX-3500000,chr1-44500000,0.25
chrX-4000000,chr1-44500000,0.06060606060606061
chrY-41750000,chr1-44500000,0.25
chr7-7750000,chr1-44750000,0.0625
chrY-29250000,chr1-45000000,0.25
chrY-41750000,chr1-45000000,0.25
chrY-81000000,chr1-45000000,0.3333333333333333
chrX-123250000,chr1-45250000,0.058823529411764705
chrY-89500000,chr1-45250000,0.08333333333333333
chrY-35000000,chr1-45750000,0.5
chrY-41750000,chr1-45750000,0.25
chrY-87000000,chr1-45750000,0.16666666666666666
chrX-149250000,chr1-46000000,0.5
chrY-86750000,chr1-46250000,0.1
chr4-122250000,chr1-46500000,0.1
chrY-8000000,chr1-46500000,0.25
chrY-38250000,chr1-46500000,0.5
chrY-43500000,chr1-46500000,0.05555555555555555
chrY-43500000,chr1-46750000,0.05555555555555555
chrY-73500000,chr1-46750000,1.0
chrY-40500000,chr1-47000000,0.5
chr4-42500000,chr1-47250000,0.05
chrX-3500000,chr1-47250000,0.25
chrX-123250000,chr1-47250000,0.11764705882352941
chrX-148000000,chr1-47250000,0.16666666666666666
chrY-8000000,chr1-47250000,0.25
chrY-83750000,chr1-47250000,0.5
chrY-87500000,chr1-47250000,0.16666666666666666
chrY-42500000,chr1-47500000,0.25
chrY-0,chr1-47750000,0.3333333333333333
chrY-22500000,chr1-47750000,0.125
chr12-22250000,chr1-48000000,0.0625
chrY-40000000,chr1-48000000,0.0625
chrY-43500000,chr1-48000000,0.05555555555555555
chrY-44000000,chr1-48000000,0.08333333333333333
chrX-123250000,chr1-48250000,0.058823529411764705
chrY-81500000,chr1-48250000,0.5
chr12-22250000,chr1-48500000,0.0625
chrX-29750000,chr1-48500000,0.25
chrX-148000000,chr1-48500000,0.16666666666666666
chrY-40750000,chr1-48500000,0.125
chrY-41500000,chr1-48500000,0.125
chrY-44000000,chr1-48500000,0.08333333333333333
chrX-29750000,chr1-48750000,0.25
chrY-87500000,chr1-48750000,0.16666666666666666
chr14-5250000,chr1-49000000,0.5
chrY-43250000,chr1-49000000,0.05555555555555555
chrY-44000000,chr1-49000000,0.08333333333333333
chrX-54500000,chr1-49250000,0.5
chrY-39250000,chr1-49250000,0.16666666666666666
chrY-39750000,chr1-49750000,0.25
chrY-40000000,chr1-49750000,0.0625
chrY-82500000,chr1-49750000,0.5
chrX-28500000,chr1-50000000,0.5
chrY-35000000,chr1-50000000,0.5
chr2-176500000,chr1-50250000,0.06666666666666667
chr14-42750000,chr1-50250000,0.1
chrY-13250000,chr1-50250000,0.5
chrY-28750000,chr1-50500000,0.5
chrY-84000000,chr1-50500000,0.5
chrY-39000000,chr1-50750000,0.1
chrY-81500000,chr1-50750000,0.5
chrY-88500000,chr1-50750000,0.25
chr12-22250000,chr1-51000000,0.0625
chrX-125000000,chr1-51000000,1.0
chrY-90000000,chr1-51000000,0.125
chr14-5000000,chr1-51250000,0.05
chrX-54750000,chr1-51250000,0.5
chrX-55000000,chr1-51250000,0.25
chrX-123250000,chr1-51250000,0.11764705882352941
chrY-43250000,chr1-51250000,0.05555555555555555
chrY-0,chr1-51500000,0.3333333333333333
chrY-39000000,chr1-51500000,0.1
chr9-2750000,chr1-51750000,0.2
chrX-33500000,chr1-51750000,0.07692307692307693
chrX-148000000,chr1-51750000,0.16666666666666666
chrX-149000000,chr1-51750000,0.25
chrY-28750000,chr1-51750000,0.5
chrY-81750000,chr1-51750000,1.0
chrY-89500000,chr1-51750000,0.08333333333333333
chr7-8750000,chr1-52000000,0.05555555555555555
chr12-22250000,chr1-52000000,0.0625
chr7-8750000,chr1-52250000,0.05555555555555555
chrX-123250000,chr1-52250000,0.058823529411764705
chrY-88000000,chr1-52250000,0.125
chrX-55000000,chr1-52500000,0.25
chrY-38000000,chr1-52500000,0.25
chrY-43750000,chr1-52500000,0.16666666666666666
chrY-89500000,chr1-52500000,0.08333333333333333
chrY-20250000,chr1-52750000,0.08333333333333333
chrY-22500000,chr1-52750000,0.125
chrY-83750000,chr1-52750000,0.5
chr7-8750000,chr1-53000000,0.05555555555555555
chrX-28250000,chr1-53000000,0.5
chrX-148500000,chr1-53000000,0.08333333333333333
chrY-39000000,chr1-53000000,0.1
chrX-148000000,chr1-53250000,0.16666666666666666
chrX-148500000,chr1-53250000,0.08333333333333333
chrY-39000000,chr1-53250000,0.1
chrY-55750000,chr1-53250000,1.0
chrX-54750000,chr1-53500000,0.5
chrY-29000000,chr1-53750000,0.25
chrX-123250000,chr1-54000000,0.058823529411764705
chrY-38500000,chr1-54000000,1.0
chrX-123750000,chr1-54250000,0.07142857142857142
chrY-41750000,chr1-54250000,0.25
chrY-90250000,chr1-54250000,0.5
chr14-42750000,chr1-54500000,0.1
chrY-59000000,chr1-55000000,1.0
chrX-148000000,chr1-55250000,0.16666666666666666
chrY-0,chr1-55250000,0.3333333333333333
chrY-28750000,chr1-55250000,0.5
chrY-42000000,chr1-55250000,0.0625
chrX-149000000,chr1-55750000,0.25
chrY-28750000,chr1-55750000,0.5
chrY-40250000,chr1-55750000,0.25
chrY-41750000,chr1-55750000,0.25
chrY-44500000,chr1-55750000,0.1
chrY-84500000,chr1-55750000,0.5
chrY-84750000,chr1-55750000,0.5
chr14-3750000,chr1-56000000,0.07142857142857142
chrX-55000000,chr1-56250000,0.25
chrX-55000000,chr1-56500000,0.25
chrY-44500000,chr1-56750000,0.1
chrY-250000,chr1-57000000,0.07142857142857142
chrY-43500000,chr1-57000000,0.05555555555555555
chrY-87500000,chr1-57000000,0.16666666666666666
chrX-25000000,chr1-57250000,1.0
chrX-31250000,chr1-57250000,0.05
chrY-38250000,chr1-57250000,0.5
chrY-43000000,chr1-57250000,0.5
chrY-67750000,chr1-57250000,1.0
chrY-88250000,chr1-57250000,0.16666666666666666
chrX-148500000,chr1-57500000,0.08333333333333333
chrY-43500000,chr1-57500000,0.05555555555555555
chrY-84250000,chr1-57500000,0.25
chrX-54750000,chr1-57750000,0.5
chrY-23750000,chr1-57750000,0.5
chrY-40000000,chr1-57750000,0.125
chrY-58250000,chr1-57750000,1.0
chrY-71250000,chr1-57750000,0.5
chr12-22250000,chr1-58000000,0.125
chr14-4750000,chr1-58000000,0.05555555555555555
chr14-42750000,chr1-58000000,0.1
chrY-42250000,chr1-58000000,0.07142857142857142
chrY-59750000,chr1-58000000,1.0
chrY-86750000,chr1-58000000,0.1
chr14-3750000,chr1-58250000,0.07142857142857142
chrY-41500000,chr1-58250000,0.125
chrY-42250000,chr1-58250000,0.07142857142857142
chrY-43250000,chr1-58250000,0.05555555555555555
chrY-20250000,chr1-58500000,0.08333333333333333
chrY-38250000,chr1-58500000,0.5
chrY-40500000,chr1-58500000,0.5
chrY-43750000,chr1-58500000,0.16666666666666666
chrY-81250000,chr1-58500000,1.0
chrY-89750000,chr1-58500000,0.25
chr14-3750000,chr1-58750000,0.07142857142857142
chrX-123250000,chr1-58750000,0.058823529411764705
chrY-40000000,chr1-58750000,0.0625
chrY-44500000,chr1-58750000,0.1
chr4-42500000,chr1-59000000,0.05
chr4-122250000,chr1-59000000,0.1
chrX-123250000,chr1-59000000,0.058823529411764705
chrY-20250000,chr1-59000000,0.08333333333333333
chrY-24250000,chr1-59000000,1.0
chr7-8750000,chr1-59250000,0.05555555555555555
chrX-34000000,chr1-59250000,0.05263157894736842
chrX-123250000,chr1-59250000,0.058823529411764705
chrX-148500000,chr1-59250000,0.08333333333333333
chrY-250000,chr1-59250000,0.07142857142857142
chrY-35000000,chr1-59250000,0.5
chr12-22250000,chr1-59500000,0.0625
chrY-18000000,chr1-59500000,1.0
chrY-44500000,chr1-59500000,0.1
chr7-22000000,chr1-59750000,1.0
chr14-3750000,chr1-59750000,0.07142857142857142
chrY-0,chr1-59750000,0.3333333333333333
chr12-22250000,chr1-60000000,0.0625
chrY-35750000,chr1-60000000,0.5
chrY-47000000,chr1-60000000,1.0
chrY-69000000,chr1-60000000,1.0
chrY-84000000,chr1-60000000,0.5
chr14-42750000,chr1-60250000,0.1
chrX-54500000,chr1-60250000,0.5
chrY-8000000,chr1-60250000,0.25
chrY-12750000,chr1-60250000,1.0
chrY-40250000,chr1-60250000,0.25
chrY-41500000,chr1-60250000,0.25
chrY-42000000,chr1-60250000,0.0625
chrY-44000000,chr1-60250000,0.08333333333333333
chrX-28500000,chr1-60500000,0.5
chrY-43250000,chr1-60500000,0.05555555555555555
chr4-42500000,chr1-60750000,0.05
chr4-122250000,chr1-60750000,0.1
chr12-22250000,chr1-60750000,0.0625
chrY-20250000,chr1-60750000,0.08333333333333333
chrY-30000000,chr1-60750000,1.0
chrY-35000000,chr1-60750000,0.5
chr14-5000000,chr1-61000000,0.05
chrX-3500000,chr1-61000000,0.25
chrY-21750000,chr1-61000000,1.0
chrY-76000000,chr1-61000000,0.5
chrY-86750000,chr1-61000000,0.1
chrY-88750000,chr1-61000000,0.5
chr7-22500000,chr1-61250000,1.0
chr14-3750000,chr1-61250000,0.07142857142857142
chr14-5000000,chr1-61250000,0.05
chrY-22500000,chr1-61250000,0.125
chrY-87500000,chr1-61250000,0.16666666666666666
chrY-43750000,chr1-61500000,0.16666666666666666
chrY-73250000,chr1-61500000,1.0
chrY-29750000,chr1-61750000,0.5
chr14-3750000,chr1-62000000,0.07142857142857142
chrY-28250000,chr1-62000000,0.5
chr3-113250000,chr1-62250000,0.25
chr7-7750000,chr1-62250000,0.0625
chrX-54750000,chr1-62250000,0.5
chrY-38250000,chr1-62250000,0.5
chrY-40000000,chr1-62250000,0.0625
chrY-0,chr1-62750000,0.3333333333333333
chrY-23000000,chr1-62750000,1.0
chrY-29750000,chr1-62750000,0.5
chrX-4000000,chr1-63000000,0.06060606060606061
chr12-22250000,chr1-63250000,0.0625
chr14-7000000,chr1-63250000,0.05555555555555555
