chrom	locus	3D_x	3D_y	3D_z
1	44900000	43.666	149.123	66.325
1	45250000	48.484	145.105	63.947
1	45650000	56.887	142.860	64.997
1	45700000	58.069	142.680	65.176
1	45750000	59.269	142.512	65.334
1	45900000	62.976	142.081	65.683
1	45950000	64.248	141.962	65.758
1	46250000	72.252	141.502	65.769
1	46300000	73.649	141.468	65.698
1	46500000	79.413	141.454	65.206
1	46650000	83.866	141.390	64.619
1	47250000	102.111	138.604	60.420
1	47300000	103.663	138.189	59.936
1	47350000	105.220	137.746	59.432
1	47400000	106.782	137.275	58.907
1	47450000	108.348	136.776	58.362
1	47700000	116.009	134.058	55.546
1	48000000	124.374	130.678	52.383
1	48050000	125.679	130.104	51.880
1	48200000	129.439	128.363	50.414
1	48300000	131.817	127.186	49.472
1	48800000	140.110	121.955	45.111
1	48950000	140.140	121.122	43.872
1	49200000	137.388	120.604	41.869
1	49350000	134.055	120.816	40.704
1	49650000	124.387	122.222	38.745
1	49900000	116.596	123.573	38.707
1	50000000	113.713	124.118	39.159
1	50100000	110.962	124.666	39.877
1	50300000	105.861	125.771	42.115
1	50450000	102.385	126.607	44.493
1	50600000	99.133	127.457	47.216
1	51050000	89.209	130.259	52.260
1	51250000	84.688	131.629	52.905
1	51300000	83.548	131.983	52.913
1	51350000	82.403	132.342	52.860
1	51600000	76.755	134.274	51.827
1	51700000	74.826	135.249	51.391
1	52250000	68.860	143.270	50.181
1	52650000	69.327	151.522	50.584
1	52700000	69.592	152.453	50.720
1	52850000	70.602	154.924	51.250
1	53000000	71.935	156.910	51.964
1	53100000	73.002	157.964	52.541
1	53200000	74.212	158.804	53.200
1	53250000	74.871	159.142	53.559
1	53550000	79.577	160.059	56.096
1	54200000	94.240	158.225	54.636
1	54450000	101.511	156.417	50.571
1	54650000	107.843	154.695	46.340
1	54750000	111.051	153.895	44.295
1	55450000	134.134	149.636	31.750
1	55750000	142.875	147.910	27.832
1	55850000	144.900	147.044	26.972
1	56500000	146.991	137.781	26.909
1	56700000	144.614	134.706	27.911
1	56750000	143.998	134.170	28.020
1	56900000	142.101	133.119	28.009
1	57350000	135.948	134.995	24.925
1	57400000	135.222	135.669	24.300
1	57500000	133.744	137.296	22.880
1	57850000	128.916	142.163	19.501
1	58000000	127.095	143.344	19.268
1	58650000	121.326	142.835	26.068
1	58750000	121.344	142.905	27.336
1	58950000	122.657	144.047	29.214
1	59200000	126.693	147.358	30.328
1	59450000	133.391	152.761	30.070
1	59750000	141.922	159.648	29.616
1	59900000	144.425	161.722	30.414
1	59950000	144.989	162.203	30.837
1	60400000	143.985	161.813	38.175
1	61000000	133.226	158.625	48.056
1	61050000	132.414	159.014	48.149
1	61300000	128.607	162.553	46.858
1	61700000	123.365	172.537	40.613
1	61750000	122.773	173.738	40.144
1	62200000	118.044	182.587	41.451
1	63000000	114.504	188.966	57.921
1	63050000	114.722	188.903	58.460
1	63250000	116.170	188.087	59.763
1	63400000	117.860	186.887	59.845
1	63450000	118.538	186.375	59.702
1	63750000	122.010	183.021	58.924
1	64900000	113.273	175.865	73.556
1	65250000	116.312	176.662	76.936
1	65350000	118.284	177.200	77.485
1	65650000	126.274	179.131	78.151
1	65800000	129.748	179.289	78.183
1	66100000	134.783	177.480	77.775
1	66150000	135.374	176.903	77.646
1	66500000	137.527	170.660	76.250
1	66600000	137.771	168.446	75.677
1	66650000	137.985	167.429	75.352
1	66750000	138.601	165.574	74.623
1	66900000	139.990	163.241	73.336
1	67350000	147.508	159.480	68.072
1	67850000	159.950	159.053	61.188
1	68350000	171.562	157.042	57.281
1	68400000	172.659	156.734	57.068
1	68450000	173.744	156.407	56.888
1	68600000	176.764	155.275	56.495
1	69050000	180.788	149.966	55.833
1	69700000	174.501	137.872	55.910
1	69800000	173.813	136.254	55.788
1	69950000	173.528	134.227	55.441
1	70100000	174.142	132.678	54.899
1	70200000	175.049	131.912	54.429
1	70350000	177.158	131.161	53.561
1	70400000	178.061	131.018	53.229
1	70600000	182.472	130.940	51.757
1	71100000	194.102	133.344	49.004
1	71250000	197.623	134.764	48.489
1	71300000	198.800	135.310	48.350
1	71500000	203.523	137.849	47.950
1	71600000	205.784	139.036	47.854
1	71700000	207.829	139.769	47.839
1	71800000	209.659	140.049	47.905
1	72500000	216.443	129.317	50.636
1	72850000	216.893	120.538	53.836
1	73400000	216.359	115.387	62.270
1	73450000	216.235	115.443	63.244
1	73600000	215.660	115.946	66.229
1	73900000	212.490	116.863	71.305
1	74100000	208.832	117.339	73.973
1	74500000	197.813	117.965	77.593
1	74550000	196.196	118.039	77.902
1	74750000	191.113	118.786	79.130
1	74850000	189.404	119.431	79.740
1	75450000	190.784	127.096	83.330
1	75500000	191.800	128.029	83.624
1	75700000	195.262	131.732	84.703
1	75850000	196.706	134.356	85.387
1	76450000	192.607	143.531	87.042
1	76800000	185.937	148.572	87.197
1	76900000	184.529	150.206	87.127
1	76950000	183.912	151.057	87.072
1	77050000	182.851	152.825	86.925
1	77100000	182.408	153.742	86.833
1	77450000	180.926	160.785	85.828
1	77700000	181.854	165.707	85.309
1	77750000	182.304	166.476	85.377
1	77900000	184.188	168.337	85.943
1	77950000	184.994	168.808	86.251
1	78000000	185.889	169.205	86.619
1	78250000	191.701	170.065	89.359
1	78300000	193.131	170.012	90.086
1	78350000	194.649	169.886	90.874
1	78400000	196.257	169.684	91.721
1	78500000	199.740	169.057	93.596
1	78850000	208.612	169.032	99.030
1	78900000	209.236	169.469	99.554
1	79400000	206.633	179.883	101.319
1	79450000	205.488	181.530	101.148
1	79500000	204.183	183.286	100.914
1	79750000	198.447	190.404	99.463
1	79900000	196.152	192.812	98.474
1	80000000	195.100	193.641	97.765
1	80050000	194.718	193.824	97.396
1	80300000	194.238	192.406	95.401
1	80550000	196.072	187.235	93.208
1	80700000	197.246	184.071	92.475
1	80800000	197.761	182.436	92.425
1	80850000	197.938	181.762	92.531
1	81050000	198.111	180.012	93.833
1	81150000	197.875	179.707	95.010
1	81450000	195.884	181.070	100.643
1	81650000	193.914	183.096	105.560
1	81900000	192.327	183.958	110.808
1	82150000	191.781	182.844	114.965
1	82500000	192.764	177.965	118.953
1	82600000	193.119	176.180	119.647
1	82650000	193.135	175.409	119.889
1	82850000	192.117	173.136	120.157
1	82950000	190.960	172.486	119.871
1	83050000	189.370	172.159	119.305
1	83350000	182.006	173.126	115.927
1	83550000	175.042	175.301	112.343
1	83900000	165.245	176.718	107.563
1	84050000	162.634	175.841	106.515
1	84100000	161.975	175.352	106.299
1	84450000	160.325	169.154	106.654
1	84750000	162.145	161.012	108.551
1	84850000	163.038	158.150	109.085
1	85100000	165.871	150.700	110.176
1	85300000	168.755	144.438	110.798
1	85550000	173.073	136.296	111.271
1	85850000	176.588	128.967	111.841
1	85950000	177.077	127.413	112.078
1	86000000	177.194	126.803	112.205
1	86350000	175.622	125.647	113.258
1	86400000	175.057	125.927	113.432
1	86650000	171.878	128.410	114.380
1	87200000	174.642	132.842	116.823
1	88050000	188.560	138.641	120.736
1	88250000	184.943	141.292	121.318
1	88300000	183.548	142.045	121.440
1	88500000	176.009	145.418	121.834
1	89200000	151.386	160.871	122.718
1	89250000	150.183	162.176	122.764
1	89450000	146.108	167.667	122.923
1	89550000	144.479	170.503	122.982
1	89900000	138.975	177.105	122.739
1	90000000	137.423	177.971	122.535
1	90600000	128.320	174.076	120.117
1	90700000	126.883	173.066	119.679
1	90800000	125.490	172.468	119.303
1	91400000	118.045	177.540	118.375
1	91450000	117.495	178.632	118.401
1	91600000	115.957	182.178	118.632
1	91900000	113.781	187.506	120.328
1	92050000	113.153	189.200	121.807
1	92350000	112.820	190.648	126.029
1	93050000	119.397	187.712	136.813
1	93750000	139.627	182.193	139.645
1	93850000	142.777	180.959	139.842
1	93900000	144.325	180.286	139.949
1	94300000	156.062	173.532	141.013
1	94400000	158.816	171.465	141.337
1	94500000	161.499	169.246	141.683
1	94550000	162.827	168.109	141.860
1	94600000	164.163	166.993	142.031
1	95200000	180.894	155.234	143.705
1	95500000	189.740	150.486	144.275
1	95550000	191.210	149.747	144.358
1	95700000	195.258	147.415	144.638
1	96100000	203.386	140.336	145.616
1	96300000	205.996	136.328	146.231
1	96400000	206.938	134.207	146.570
1	96450000	207.318	133.117	146.748
1	96500000	207.637	132.007	146.930
1	96800000	209.086	127.191	148.686
1	97100000	209.967	126.174	151.729
1	97300000	210.239	127.606	154.473
1	97550000	210.199	131.677	158.657
1	97750000	209.311	134.663	161.441
1	98000000	206.735	136.560	163.388
1	98150000	204.407	136.720	163.739
1	98250000	202.530	136.418	163.631
1	98450000	197.995	134.836	162.599
1	98650000	192.609	132.624	160.767
1	99300000	172.558	132.753	154.332
1	99500000	165.625	135.120	152.237
1	99800000	157.026	139.819	150.340
1	100000000	153.591	143.318	150.505
1	100100000	152.563	145.176	151.016
1	100500000	153.047	153.342	155.921
1	100550000	153.590	154.410	156.814
1	100750000	156.237	158.166	160.267
1	100850000	157.843	159.735	161.923
1	100950000	159.637	161.098	163.532
1	101150000	163.792	163.206	166.607
1	101250000	166.153	163.950	168.073
1	101400000	170.047	164.680	170.184
1	101650000	176.863	164.733	173.404
1	102000000	183.011	161.489	176.882
1	102200000	184.543	157.853	178.309
1	102250000	184.702	156.741	178.602
1	102800000	182.056	142.157	181.247
1	103050000	180.216	137.984	183.529
1	103200000	179.067	136.500	185.326
1	103500000	176.670	135.827	189.883
1	104250000	172.649	143.961	199.603
1	104300000	172.533	144.929	200.018
1	104550000	172.215	150.544	201.641
1	104900000	171.175	159.012	201.771
1	105000000	170.641	161.434	201.277
1	105350000	167.949	169.920	197.692
1	105550000	165.843	174.717	194.412
1	105600000	165.277	175.753	193.624
1	105650000	164.704	176.671	192.908
1	105700000	164.124	177.471	192.263
1	106050000	159.865	179.748	189.759
1	106350000	155.937	177.077	190.409
1	106400000	155.257	176.217	190.768
1	106550000	153.180	172.998	192.181
1	106650000	151.794	170.789	192.789
1	107250000	143.661	159.702	186.573
1	107450000	141.020	156.833	180.745
1	107550000	139.692	155.586	177.234
1	107850000	134.843	153.926	168.706
1	107950000	132.918	154.099	166.638
1	108200000	127.431	156.121	163.165
1	108300000	124.965	157.566	162.453
1	108400000	122.346	159.373	162.130
1	108850000	110.109	168.436	161.922
1	109000000	106.370	170.568	161.087
1	109600000	93.395	174.196	153.544
1	109950000	88.738	173.216	148.147
1	110200000	87.258	171.310	144.615
1	110250000	87.146	170.809	143.941
1	110300000	87.097	170.267	143.278
1	110450000	87.316	168.401	141.352
1	110550000	87.727	166.996	140.156
1	110650000	88.085	165.706	139.241
1	110700000	88.228	165.119	138.901
1	111100000	88.500	161.820	139.009
1	111300000	88.058	161.101	140.949
1	111450000	87.473	160.969	143.229
1	111500000	87.230	161.002	144.146
1	111550000	86.965	161.046	145.095
1	111600000	86.682	161.071	146.030
1	111900000	84.588	160.834	151.328
1	112000000	83.740	160.608	152.977
1	112050000	83.288	160.468	153.779
1	112350000	80.183	159.236	158.284
1	112450000	78.998	158.679	159.668
1	112500000	78.377	158.372	160.339
1	112550000	77.781	158.052	160.991
1	112850000	75.633	155.934	164.455
1	113100000	75.712	153.915	166.756
1	113150000	75.932	153.483	167.152
1	113200000	76.220	153.042	167.527
1	113250000	76.576	152.591	167.880
1	113350000	77.491	151.663	168.523
1	113500000	79.375	150.200	169.327
1	113550000	80.113	149.723	169.570
1	113750000	83.221	148.305	170.699
1	114450000	96.089	149.517	176.586
1	114650000	99.997	151.093	178.577
1	114700000	100.836	151.327	178.984
1	114900000	103.604	151.569	180.224
1	115000000	104.634	151.272	180.610
1	115650000	105.880	143.130	179.326
1	115900000	105.391	140.215	177.071
1	116100000	105.114	138.970	174.559
1	116250000	104.974	138.670	172.262
1	116400000	104.891	138.914	169.612
1	116550000	104.896	139.644	166.645
1	116950000	107.474	139.862	159.931
1	118900000	122.160	123.305	161.520
1	118950000	121.426	122.980	161.235
1	119100000	119.004	121.892	159.633
1	119200000	117.205	121.074	157.941
1	120000000	103.216	113.365	135.218
1	120050000	102.869	112.947	134.032
1	120200000	102.295	111.761	130.776
1	120550000	103.499	109.414	124.866
1	120800000	101.252	108.733	119.183
1	120900000	98.679	108.806	116.047
1	120950000	97.033	108.917	114.294
1	121050000	93.025	109.287	110.418
1	121250000	82.139	110.621	101.187
1	121400000	71.464	112.140	92.969
1	121800000	45.919	114.160	71.011
1	121850000	44.825	113.642	68.982
1	122250000	54.358	102.862	59.070
1	122300000	57.835	100.685	58.621
1	122350000	61.821	98.324	58.348
1	122450000	71.315	93.049	58.328
1	122550000	82.465	87.221	58.898
1	122700000	97.922	79.569	59.544
1	122750000	102.586	77.382	59.658
1	123300000	137.762	65.347	57.587
1	123400000	140.982	65.526	56.555
1	123900000	137.331	67.935	60.588
1	124050000	128.465	66.652	68.033
1	124200000	115.968	64.361	78.461
1	124250000	110.996	63.373	82.600
1	124600000	66.520	53.915	119.299
1	124800000	44.319	50.428	135.997
1	125100000	23.327	50.683	147.637
1	125250000	18.370	53.279	147.424
1	125500000	18.313	61.264	138.131
1	125950000	31.099	68.282	117.393
1	126350000	48.601	55.268	109.108
1	126400000	51.195	52.367	108.744
1	126750000	67.491	30.196	106.231
1	126800000	68.876	27.698	105.238
1	127100000	71.707	16.951	95.453
1	127150000	71.266	15.866	93.185
1	127200000	70.564	14.984	90.734
1	127400000	65.147	13.474	79.108
1	127600000	56.735	15.028	65.956
1	128050000	54.369	25.830	63.215
1	128250000	61.856	33.711	75.320
1	128350000	67.570	38.362	84.448
1	128550000	82.706	49.008	108.454
1	129050000	116.094	74.749	157.648
