chr_name,chr_start,chr_end,annot_name
chr1,52095930,52096620,Stat1
chr1,54185060,54186750,Gtf3c3
chr1,54641400,54643020,Gtf3c3
chr1,54897280,54899370,Gtf3c3
chr1,54970200,54971620,Gtf3c3
chr1,54185060,54186750,Pgap1
chr1,54641400,54643020,Pgap1
chr1,54897280,54899370,Pgap1
chr1,54641400,54643020,Ankrd44
chr1,54897280,54899370,Ankrd44
chr1,54970200,54971620,Ankrd44
chr1,54897280,54899370,Sf3b1
chr1,54970200,54971620,Sf3b1
chr1,55271540,55273450,Sf3b1
chr1,55273810,55274750,Sf3b1
chr1,54897280,54899370,Coq10b
chr1,54970200,54971620,Coq10b
chr1,55273810,55274750,Coq10b
chr1,54970200,54971620,Hspe1
chr1,55271540,55273450,Hspe1
chr1,55273810,55274750,Hspe1
chr1,55271540,55273450,Gm16581
chr1,55273810,55274750,Gm16581
chr1,55271540,55273450,Gm6822
chr1,55273810,55274750,Gm6822
chr1,55271540,55273450,Rftn2
chr1,55271540,55273450,Mars2
chr1,55273810,55274750,Mars2
chr1,58356750,58357450,Kctd18
chr1,58357770,58358380,Kctd18
chr1,58360480,58361270,Kctd18
chr1,58356750,58357450,Bzw1
chr1,58357770,58358380,Bzw1
chr1,58360480,58361270,Bzw1
chr1,58356750,58357450,Clk1
chr1,58357770,58358380,Clk1
chr1,58360480,58361270,Clk1
chr1,58357770,58358380,Nif3l1
chr1,66862060,66863940,Gm15789
chr1,66862060,66863940,Gm15793
chr1,72003100,72005570,Fn1
chr1,72003100,72005570,Xrcc5
chr1,72742640,72743260,March4
chr1,72742640,72743260,Smarcal1
chr1,72742640,72743260,Rpl37a
chr1,74376710,74379180,Tns1
chr1,74376710,74379180,Arpc2
chr1,74376710,74379180,Aamp
chr1,74376710,74379180,Pnkd
chr1,74376710,74379180,Tmbim1
chr1,74376710,74379180,Gm216
chr1,74376710,74379180,Slc11a1
chr1,74376710,74379180,Plcd4
chr1,74376710,74379180,Usp37
chr1,74376710,74379180,Zfp142
chr1,74376710,74379180,Bcs1l
chr1,74376710,74379180,Rnf25
chr1,75209800,75210150,Slc23a3
chr1,75209800,75210150,1810031K17Rik
chr1,75209800,75210150,Zfand2b
chr1,75209800,75210150,Abcb6
chr1,75209800,75210150,Atg9a
chr1,75209800,75210150,Ankzf1
chr1,75209800,75210150,Glb1l
chr1,75209800,75210150,Stk16
chr1,75521460,75521660,Stk16
chr1,75209800,75210150,Tuba4a
chr1,75521460,75521660,Dnajb2
chr1,75209800,75210150,Ptprn
chr1,75521460,75521660,Gmppa
chr1,75521460,75521660,Stk11ip
chr1,75521460,75521660,Slc4a3
chr1,78698530,78700060,Utp14b
chr1,85082590,85083150,Trip12
chr1,85094650,85096060,Trip12
chr1,85096220,85097240,Trip12
chr1,85101650,85102860,Trip12
chr1,85081440,85082510,Trip12
chr1,85097260,85099100,Trip12
chr1,85082590,85083150,Rpl19-ps1
chr1,85096220,85097240,Rpl19-ps1
chr1,85099220,85099970,Rpl19-ps1
chr1,85101650,85102860,Rpl19-ps1
chr1,85097260,85099100,Rpl19-ps1
chr1,85261640,85263080,Rpl19-ps1
chr1,85082590,85083150,A530032D15Rik
chr1,85094650,85096060,A530032D15Rik
chr1,85096220,85097240,A530032D15Rik
chr1,85099220,85099970,A530032D15Rik
chr1,85101650,85102860,A530032D15Rik
chr1,85081440,85082510,A530032D15Rik
chr1,85097260,85099100,A530032D15Rik
chr1,85094650,85096060,Gm7609
chr1,85096220,85097240,Gm7609
chr1,85259380,85260960,Gm7609
chr1,85265520,85267730,Gm7609
chr1,85261640,85263080,Gm7609
chr1,85261640,85263080,Gm16026
chr1,85252130,85253600,C130026I21Rik
chr1,85259380,85260960,C130026I21Rik
chr1,85261640,85263080,C130026I21Rik
chr1,87500460,87502590,Sp110
chr1,87504210,87506260,Sp110
chr1,87519760,87521040,Sp110
chr1,87524970,87525910,Sp110
chr1,87506280,87507310,Sp110
chr1,87500460,87502590,Sp140
chr1,87504210,87506260,Sp140
chr1,87519760,87521040,Sp140
chr1,87524970,87525910,Sp140
chr1,87506280,87507310,Sp140
chr1,87500460,87502590,Sp100
chr1,87504210,87506260,Sp100
chr1,87519760,87521040,Sp100
chr1,87524970,87525910,Sp100
chr1,87506280,87507310,Sp100
chr1,87500460,87502590,A630001G21Rik
chr1,87504210,87506260,A630001G21Rik
chr1,87519760,87521040,A630001G21Rik
chr1,87524970,87525910,A630001G21Rik
chr1,87506280,87507310,A630001G21Rik
chr1,87504210,87506260,Cab39
chr1,87519760,87521040,Cab39
chr1,87524970,87525910,Cab39
chr1,88124460,88126820,Itm2c
chr1,88124460,88126820,4933407L21Rik
chr1,88124460,88126820,Psmd1
chr1,88124460,88126820,Htr2b
chr1,88124460,88126820,Armc9
chr1,88367180,88367920,B3gnt7
chr1,88367180,88367920,Ncl
chr1,88375270,88377650,Ncl
chr1,88367180,88367920,Ptma
chr1,88375270,88377650,Ptma
chr1,88367180,88367920,Pde6d
chr1,88375270,88377650,Pde6d
chr1,88367180,88367920,Cops7b
chr1,89519320,89520680,Kcnj13
chr1,89545290,89545750,Kcnj13
chr1,89725040,89727160,Kcnj13
chr1,89519320,89520680,Ngef
chr1,89519320,89520680,Inpp5d
chr1,89545290,89545750,Inpp5d
chr1,89547020,89548930,Inpp5d
chr1,89521910,89524120,Inpp5d
chr1,89519320,89520680,Atg16l1
chr1,89545290,89545750,Atg16l1
chr1,89547020,89548930,Atg16l1
chr1,89725040,89727160,Atg16l1
chr1,89752600,89753940,Atg16l1
chr1,89521910,89524120,Atg16l1
chr1,89519320,89520680,Sag
chr1,89545290,89545750,Sag
chr1,89725040,89727160,Sag
chr1,89752600,89753940,Sag
chr1,89725040,89727160,Dgkd
chr1,89752600,89753940,Dgkd
chr1,90152250,90152630,Usp40
chr1,90152740,90152970,Usp40
chr1,90153120,90153220,Usp40
chr1,90153400,90154280,Usp40
chr1,90154440,90155150,Usp40
chr1,90155280,90155430,Usp40
chr1,90171670,90173790,Usp40
chr1,89752600,89753940,Ugt1a7c
chr1,90151590,90151660,Ugt1a7c
chr1,90151850,90152110,Ugt1a7c
chr1,90152250,90152630,Ugt1a7c
chr1,90152740,90152970,Ugt1a7c
chr1,90153120,90153220,Ugt1a7c
chr1,90153400,90154280,Ugt1a7c
chr1,90154440,90155150,Ugt1a7c
chr1,90155280,90155430,Ugt1a7c
chr1,90151590,90151660,Gm15373
chr1,90151850,90152110,Gm15373
chr1,90152250,90152630,Gm15373
chr1,90152740,90152970,Gm15373
chr1,90153120,90153220,Gm15373
chr1,90153400,90154280,Gm15373
chr1,90154440,90155150,Gm15373
chr1,90155280,90155430,Gm15373
chr1,90169340,90171610,Gm15373
chr1,90171670,90173790,Gm15373
chr1,90151590,90151660,Ugt1a6a
chr1,90151850,90152110,Ugt1a6a
chr1,90153120,90153220,Ugt1a6a
chr1,90153400,90154280,Ugt1a6a
chr1,90154440,90155150,Ugt1a6a
chr1,90155280,90155430,Ugt1a6a
chr1,90151590,90151660,Ugt1a6b
chr1,90151850,90152110,Ugt1a6b
chr1,90152250,90152630,Ugt1a6b
chr1,90152740,90152970,Ugt1a6b
chr1,90153120,90153220,Ugt1a6b
chr1,90153400,90154280,Ugt1a6b
chr1,90154440,90155150,Ugt1a6b
chr1,90155280,90155430,Ugt1a6b
chr1,90151590,90151660,Gm15372
chr1,90151850,90152110,Gm15372
chr1,90152250,90152630,Gm15372
chr1,90152740,90152970,Gm15372
chr1,90153120,90153220,Gm15372
chr1,90153400,90154280,Gm15372
chr1,90154440,90155150,Gm15372
chr1,90155280,90155430,Gm15372
chr1,90169340,90171610,Gm15372
chr1,90171670,90173790,Gm15372
chr1,90151590,90151660,Gm15370
chr1,90151850,90152110,Gm15370
chr1,90152250,90152630,Gm15370
chr1,90152740,90152970,Gm15370
chr1,90153120,90153220,Gm15370
chr1,90153400,90154280,Gm15370
chr1,90154440,90155150,Gm15370
chr1,90155280,90155430,Gm15370
chr1,90169340,90171610,Gm15370
chr1,90171670,90173790,Gm15370
chr1,90151590,90151660,Gm15369
chr1,90151850,90152110,Gm15369
chr1,90152250,90152630,Gm15369
chr1,90152740,90152970,Gm15369
chr1,90153120,90153220,Gm15369
chr1,90153400,90154280,Gm15369
chr1,90154440,90155150,Gm15369
chr1,90155280,90155430,Gm15369
chr1,90169340,90171610,Gm15369
chr1,90171670,90173790,Gm15369
chr1,90153120,90153220,Gm15374
chr1,90153400,90154280,Gm15374
chr1,90154440,90155150,Gm15374
chr1,90155280,90155430,Gm15374
chr1,90169340,90171610,Gm15374
chr1,90171670,90173790,Gm15374
chr1,90149060,90151430,Gm15371
chr1,90151590,90151660,Gm15371
chr1,90151850,90152110,Gm15371
chr1,90152250,90152630,Gm15371
chr1,90152740,90152970,Gm15371
chr1,90153120,90153220,Gm15371
chr1,90153400,90154280,Gm15371
chr1,90154440,90155150,Gm15371
chr1,90155280,90155430,Gm15371
chr1,90169340,90171610,Gm15371
chr1,90171670,90173790,Gm15371
chr1,90149060,90151430,Gm15368
chr1,90151590,90151660,Gm15368
chr1,90151850,90152110,Gm15368
chr1,90152250,90152630,Gm15368
chr1,90152740,90152970,Gm15368
chr1,90153120,90153220,Gm15368
chr1,90153400,90154280,Gm15368
chr1,90154440,90155150,Gm15368
chr1,90155280,90155430,Gm15368
chr1,90169340,90171610,Gm15368
chr1,90171670,90173790,Gm15368
chr1,90151590,90151660,Gm15376
chr1,90151850,90152110,Gm15376
chr1,90153120,90153220,Gm15376
chr1,90153400,90154280,Gm15376
chr1,90154440,90155150,Gm15376
chr1,90155280,90155430,Gm15376
chr1,90169340,90171610,Gm15376
chr1,90171670,90173790,Gm15376
chr1,90151850,90152110,Ugt1a2
chr1,90154440,90155150,Ugt1a2
chr1,90155280,90155430,Ugt1a2
chr1,90169340,90171610,Ugt1a2
chr1,90171670,90173790,Ugt1a2
chr1,90151850,90152110,Dnajb3
chr1,90152740,90152970,Dnajb3
chr1,90153120,90153220,Dnajb3
chr1,90153400,90154280,Dnajb3
chr1,90154440,90155150,Dnajb3
chr1,90155280,90155430,Dnajb3
chr1,90169340,90171610,Dnajb3
chr1,90171670,90173790,Dnajb3
chr1,90149060,90151430,Heatr7b1
chr1,90151590,90151660,Heatr7b1
chr1,90151850,90152110,Heatr7b1
chr1,90152250,90152630,Heatr7b1
chr1,90152740,90152970,Heatr7b1
chr1,90153120,90153220,Heatr7b1
chr1,90153400,90154280,Heatr7b1
chr1,90154440,90155150,Heatr7b1
chr1,90155280,90155430,Heatr7b1
chr1,90169340,90171610,Heatr7b1
chr1,90171670,90173790,Heatr7b1
chr1,89752600,89753940,Hjurp
chr1,90149060,90151430,Hjurp
chr1,90151590,90151660,Hjurp
chr1,90151850,90152110,Hjurp
chr1,90152250,90152630,Hjurp
chr1,90152740,90152970,Hjurp
chr1,90153120,90153220,Hjurp
chr1,90153400,90154280,Hjurp
chr1,90154440,90155150,Hjurp
chr1,90155280,90155430,Hjurp
chr1,90169340,90171610,Hjurp
chr1,90171670,90173790,Hjurp
chr1,90149060,90151430,Trpm8
chr1,90151590,90151660,Trpm8
chr1,90151850,90152110,Trpm8
chr1,90152250,90152630,Trpm8
chr1,90152740,90152970,Trpm8
chr1,90153120,90153220,Trpm8
chr1,90153400,90154280,Trpm8
chr1,90154440,90155150,Trpm8
chr1,90155280,90155430,Trpm8
chr1,90169340,90171610,Trpm8
chr1,90171670,90173790,Trpm8
chr1,90149060,90151430,Glrp1
chr1,93975850,93977840,Hdac4
chr1,97163820,97166200,Fam174a
chr1,108508680,108509630,Bcl2
chr1,108508680,108509630,Kdsr
chr1,108445220,108446800,Kdsr
chr1,108508680,108509630,Vps4b
chr1,108445220,108446800,Vps4b
chr1,120352760,120355240,Tsn
chr1,120352760,120355240,Mki67ip
chr1,120352760,120355240,Clasp1
chr1,122071460,122072220,Tmem177
chr1,122103440,122105280,Tmem177
chr1,122161850,122164200,Tmem177
chr1,122103440,122105280,Dbi
chr1,122161850,122164200,Dbi
chr1,122071460,122072220,3110009E18Rik
chr1,122103440,122105280,3110009E18Rik
chr1,122071460,122072220,Steap3
chr1,122103440,122105280,Steap3
chr1,122161850,122164200,Steap3
chr1,129407530,129408890,Acmsd
chr1,129725720,129726840,Acmsd
chr1,129727100,129728320,Acmsd
chr1,129407530,129408890,Rab3gap1
chr1,129411120,129411940,Rab3gap1
chr1,129725720,129726840,Rab3gap1
chr1,129727100,129728320,Rab3gap1
chr1,129725720,129726840,Rpl28-ps1
chr1,129727100,129728320,R3hdm1
chr1,130504090,130506060,Mcm6
chr1,130663210,130665090,Dars
chr1,130504090,130506060,Cxcr4
chr1,130663210,130665090,Cxcr4
chr1,132446370,132448350,Cd55
chr1,132446370,132448350,Yod1
chr1,132446370,132448350,Pfkfb2
chr1,133030440,133032830,Fcamr
chr1,132446370,132448350,Fcamr
chr1,133030440,133032830,Mapkapk2
chr1,133110700,133111740,Mapkapk2
chr1,133030440,133032830,Dyrk3
chr1,133110700,133111740,Dyrk3
chr1,133030440,133032830,Eif2d
chr1,133110700,133111740,Eif2d
chr1,133323340,133324710,Eif2d
chr1,133030440,133032830,Rassf5
chr1,133110700,133111740,Rassf5
chr1,133323340,133324710,Rassf5
chr1,133110700,133111740,Ikbke
chr1,133030440,133032830,Srgap2
chr1,133110700,133111740,Srgap2
chr1,133323340,133324710,Srgap2
chr1,133323340,133324710,Fam72a
chr1,133323340,133324710,Ctse
chr1,133323340,133324710,Slc26a9
chr1,133323340,133324710,Pm20d1
chr1,133957500,133959920,Nucks1
chr1,133998160,134000100,Nucks1
chr1,133957500,133959920,Slc45a3
chr1,133998160,134000100,Slc45a3
chr1,133957500,133959920,Elk4
chr1,133995470,133996720,Elk4
chr1,133998160,134000100,Elk4
chr1,134088060,134090060,Elk4
chr1,134237520,134239730,Elk4
chr1,133957500,133959920,Mfsd4
chr1,133995470,133996720,Mfsd4
chr1,133998160,134000100,Mfsd4
chr1,134088060,134090060,Mfsd4
chr1,133957500,133959920,Cdk18
chr1,133995470,133996720,Cdk18
chr1,133998160,134000100,Cdk18
chr1,134088060,134090060,Cdk18
chr1,134237520,134239730,Cdk18
chr1,133995470,133996720,Lemd1
chr1,134088060,134090060,Lemd1
chr1,133957500,133959920,Nuak2
chr1,133995470,133996720,Nuak2
chr1,133998160,134000100,Nuak2
chr1,134088060,134090060,Nuak2
chr1,134237520,134239730,Nuak2
chr1,133995470,133996720,Tmcc2
chr1,134088060,134090060,Tmcc2
chr1,134237520,134239730,Tmcc2
chr1,133995470,133996720,Dstyk
chr1,134237520,134239730,Dstyk
chr1,134747080,134748840,Mdm4
chr1,134749530,134750590,Mdm4
chr1,134979570,134981310,Mdm4
chr1,134979570,134981310,Pik3c2b
chr1,134979570,134981310,Ppp1r15b
chr1,135962890,135965300,Btg2
chr1,135962890,135965300,Chi3l1
chr1,135962890,135965300,Tmem183a
chr1,136991100,136993290,Ppp1r12b
chr1,136991100,136993290,Ptpn7
chr1,136991100,136993290,Arl8a
chr1,136991100,136993290,Rnpep
chr1,136991100,136993290,Timm17a
chr1,137555460,137557530,Csrp1
chr1,137555460,137557530,Phlda3
chr1,138015390,138015530,Phlda3
chr1,137555460,137557530,Tnnt2
chr1,138015390,138015530,Tnnt2
chr1,137555460,137557530,Tmem9
chr1,138015390,138015530,Kif21b
chr1,138261210,138262060,Kif21b
chr1,138015390,138015530,Camsap2
chr1,138261210,138262060,Camsap2
chr1,137555460,137557530,Ddx59
chr1,138261210,138262060,Ddx59
chr1,138261210,138262060,Kif14
chr1,139702520,139704740,Ptprc
chr1,140087960,140090240,Ptprc
chr1,140932970,140933330,2310009B15Rik
chr1,140932970,140933330,Dennd1b
chr1,140932970,140933330,Gm16305
chr1,141242940,141244080,Crb1
chr1,141242940,141244080,Zbtb41
chr1,141242940,141244080,Aspm
chr1,145313210,145313620,B3galt2
chr1,145313210,145313620,Trove2
chr1,145313210,145313620,Uchl5
chr1,146047650,146048080,Rgs2
chr1,146046720,146047060,Rgs2
chr1,146177270,146178130,Rgs2
chr1,146047650,146048080,Rgs1
chr1,155044540,155044770,Lamc2
chr1,155044540,155044770,Gm8818
chr1,155154480,155156860,Gm8818
chr1,154954450,154955900,Lamc1
chr1,155044540,155044770,Lamc1
chr1,154954450,154955900,1700012A16Rik
chr1,155154480,155156860,1700012A16Rik
chr1,157076260,157078310,Ier5
chr1,157076260,157078310,Mr1
chr1,157076260,157078310,Stx6
chr1,157076260,157078310,BC034090
chr1,157076260,157078310,Xpr1
chr1,157628580,157629650,Xpr1
chr1,157076260,157078310,Acbd6
chr1,157628580,157629650,Acbd6
chr1,157629800,157630160,Acbd6
chr1,157628580,157629650,Qsox1
chr1,157629800,157630160,Qsox1
chr1,157628580,157629650,Cep350
chr1,157628580,157629650,Tor1aip2
chr1,157629800,157630160,Tor1aip2
chr1,158389480,158390810,Gm2000
chr1,158389480,158390810,Soat1
chr1,158389480,158390810,Abl2
chr1,158389480,158390810,Fam20b
chr1,158948760,158951250,Fam20b
chr1,158946820,158948610,Angptl1
chr1,158948760,158951250,Angptl1
chr1,158957150,158959470,Angptl1
chr1,158948760,158951250,Ralgps2
chr1,158957150,158959470,Ralgps2
chr1,158946820,158948610,Gm6058
chr1,158948760,158951250,Gm6058
chr1,158957150,158959470,Gm6058
chr1,161868640,161870040,4930523C07Rik
chr1,161868640,161870040,Cacybp
chr1,163728620,163729610,Gm15429
chr1,163728620,163729610,AI848100
chr1,165999870,166002240,Scyl3
chr1,166006310,166007550,Scyl3
chr1,166002370,166002840,Scyl3
chr1,165999870,166002240,BC055324
chr1,166003100,166004550,BC055324
chr1,166006310,166007550,BC055324
chr1,166002370,166002840,BC055324
chr1,165999870,166002240,2810422O20Rik
chr1,166003100,166004550,2810422O20Rik
chr1,166006310,166007550,2810422O20Rik
chr1,166002370,166002840,2810422O20Rik
chr1,165999870,166002240,Sele
chr1,166003100,166004550,Sele
chr1,166006310,166007550,Sele
chr1,166002370,166002840,Sele
chr1,165999870,166002240,Sell
chr1,166003100,166004550,Sell
chr1,166006310,166007550,Sell
chr1,166002370,166002840,Sell
chr1,165999870,166002240,Selp
chr1,166003100,166004550,Selp
chr1,166006310,166007550,Selp
chr1,166002370,166002840,Selp
chr1,166006310,166007550,F5
chr1,165999870,166002240,Gm16588
chr1,166003100,166004550,Gm16588
chr1,166006310,166007550,Gm16588
chr1,166002370,166002840,Gm16588
chr1,165999870,166002240,Slc19a2
chr1,166003100,166004550,Slc19a2
chr1,166383740,166385660,Slc19a2
chr1,166002370,166002840,Slc19a2
chr1,165999870,166002240,4930455F23Rik
chr1,166003100,166004550,4930455F23Rik
chr1,166006310,166007550,4930455F23Rik
chr1,166383740,166385660,4930455F23Rik
chr1,166002370,166002840,4930455F23Rik
chr1,165999870,166002240,Blzf1
chr1,166003100,166004550,Blzf1
chr1,166006310,166007550,Blzf1
chr1,166383740,166385660,Blzf1
chr1,166002370,166002840,Blzf1
chr1,166383740,166385660,Atp1b1
chr1,166383740,166385660,Dpt
chr1,167013660,167015450,Dpt
chr1,167013660,167015450,Xcl1
chr1,167083850,167085170,Xcl1
chr1,167083850,167085170,Tbx19
chr1,167013660,167015450,Sft2d2
chr1,167013660,167015450,Tiprl
chr1,167518960,167520670,Tiprl
chr1,167083850,167085170,Tiprl
chr1,167013660,167015450,Gpr161
chr1,167518960,167520670,Gpr161
chr1,167518960,167520670,Brp44
chr1,167083850,167085170,Brp44
chr1,167518960,167520670,Rcsd1
chr1,167647390,167649560,Rcsd1
chr1,167864270,167864930,Pou2f1
chr1,167865070,167866990,Pou2f1
chr1,172905040,172907220,Atf6
chr1,173004780,173005590,Atf6
chr1,173011660,173012380,Atf6
chr1,173012510,173012760,Atf6
chr1,172905040,172907220,Dusp12
chr1,173004780,173005590,Dusp12
chr1,173011660,173012380,Dusp12
chr1,173012510,173012760,Dusp12
chr1,172905040,172907220,Gm2962
chr1,173004780,173005590,Gm2962
chr1,173008120,173008720,Gm2962
chr1,173008960,173010720,Gm2962
chr1,173011660,173012380,Gm2962
chr1,173012510,173012760,Gm2962
chr1,173004780,173005590,Fcrla
chr1,173008120,173008720,Fcrla
chr1,173008960,173010720,Fcrla
chr1,173011660,173012380,Fcrla
chr1,173012510,173012760,Fcrla
chr1,173004780,173005590,Fcgr2b
chr1,173008120,173008720,Fcgr2b
chr1,173008960,173010720,Fcgr2b
chr1,173011660,173012380,Fcgr2b
chr1,173012510,173012760,Fcgr2b
chr1,172905040,172907220,1700009P17Rik
chr1,173004780,173005590,1700009P17Rik
chr1,173008120,173008720,1700009P17Rik
chr1,173008960,173010720,1700009P17Rik
chr1,172905040,172907220,Sdhc
chr1,173004780,173005590,Sdhc
chr1,173008120,173008720,Sdhc
chr1,173008960,173010720,Sdhc
chr1,173011660,173012380,Sdhc
chr1,173012510,173012760,Sdhc
chr1,172905040,172907220,Mpz
chr1,173012510,173012760,Mpz
chr1,172905040,172907220,Pcp4l1
chr1,173004780,173005590,Pcp4l1
chr1,173008120,173008720,Pcp4l1
chr1,173008960,173010720,Pcp4l1
chr1,173011660,173012380,Pcp4l1
chr1,173012510,173012760,Pcp4l1
chr1,173004780,173005590,Nr1i3
chr1,173008120,173008720,Nr1i3
chr1,173004780,173005590,Tomm40l
chr1,173008120,173008720,Tomm40l
chr1,173008960,173010720,Tomm40l
chr1,173012510,173012760,Tomm40l
chr1,172905040,172907220,Apoa2
chr1,173004780,173005590,Apoa2
chr1,173008120,173008720,Apoa2
chr1,173011660,173012380,Apoa2
chr1,173012510,173012760,Apoa2
chr1,173004780,173005590,Fcer1g
chr1,173008120,173008720,Fcer1g
chr1,173004780,173005590,Ndufs2
chr1,173008120,173008720,Ndufs2
chr1,173008960,173010720,Ndufs2
chr1,173004780,173005590,Adamts4
chr1,173008120,173008720,Adamts4
chr1,173004780,173005590,B4galt3
chr1,173008120,173008720,B4galt3
chr1,173008960,173010720,B4galt3
chr1,173012510,173012760,B4galt3
chr1,173004780,173005590,Ppox
chr1,173012510,173012760,Ppox
chr1,173004780,173005590,Usp21
chr1,173004780,173005590,Rpl27-ps1
chr1,173012510,173012760,Rpl27-ps1
chr1,172905040,172907220,Dedd
chr1,173004780,173005590,Klhdc9
chr1,173008960,173010720,Klhdc9
chr1,173012510,173012760,Klhdc9
chr1,177570400,177572280,Kmo
chr1,177570400,177572280,Fh1
chr1,177570400,177572280,Chml
chr1,177570400,177572280,Wdr64
chr1,179396730,179397960,Zfp238
chr1,179399710,179401240,Zfp238
chr1,179396730,179397960,Adss
chr1,179399710,179401240,Adss
chr1,182518290,182518480,Gm5069
chr1,182471130,182473300,Parp1
chr1,182475970,182476330,Parp1
chr1,182477340,182479590,Parp1
chr1,182518290,182518480,Parp1
chr1,182517530,182518050,Parp1
chr1,182471130,182473300,Lin9
chr1,182475970,182476330,Lin9
chr1,182477340,182479590,Lin9
chr1,182518290,182518480,Lin9
chr1,182517530,182518050,Lin9
chr1,182471130,182473300,Acbd3
chr1,182475970,182476330,Acbd3
chr1,182477340,182479590,Acbd3
